Data Element ID,Data element,DatasetID ,Date created ,Date updated ,Synonyms ,Translation of data element ,Descripton  ,Data element type ,Field property/data type for value,Field size ,Value selection/capture method ,Values/Codes for Values ,Value source 
,Severity of Psoriasis (scalp),Dermatology,May-13,,,,"Score of severity ranging from 0-3 (normal, mild, moderate, severe)",,Alphanumeric,2 characters,,,
,Severity of Psoriatic Arthropathy,Dermatology,May-13,,,,"Presence of either morning stiffness, enthesopathy/dactylitis, joint pain, jointswelling or joint deformity",,Alphanumeric,50 characters,,,
,Sex,"Obstetric, Person Record, Cancer, Nuclear Medicine, Radiotherapy &",Sep-12,,Gender,Jantina,Biological sex of the person,,Alphanumeric,15 characters,,Refer to lookup table Sex,Jabatan Pendaftaran Negara (JPN). Added new description 2 (Sept 12)
,Shock,NOR,May-13,,,,"Circulatory collapse, when the arterial blood pressure is too low to maintain an adequate supply of blood to the body’s tissues",,,,,,NOR
,Shoulder Dystocia,NOR,May-13,,,,A vaginal cephalic delivery that requires additional obstetric manoeuvres to deliver the fetus after the head has delivered and gentle traction has failed,,,,,,RCOG
,Significant Periprocedural MI,Cardiology,May-13,,,,Indicate the NEW presence of a periprocedural MI during the cath. Lab visit or after lab visit until discharge (or before any subsequent lab visits). Note: Must be distinct from the index event,,Alphanumeric,15 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Applicable",NCVD-PCI
significant_periprocedural_mi_criteria,Significant Periprocedural MI - Criteria,Cardiology,May-13,,,,"Criteria to determine existence of periprocedural MI. 1. Evolutionary ST-segment elevations, development of new Q-waves in 2 or more contiguous ECG leads, or new or presumably new LBBB pattern on the ECG. 2. Biochemical evidence of myocardial necrosis. This can be manifested as (a) CK-MB > 3x the upper limit of normal or, if CK-MB not available (b) total CK > 3x upper limit of normal. (Because normal limits of certain blood tests may vary, please check with your lab for normal limits for CK-MB and total CK)",,Alphanumeric,,Select from a shortlist,Refer to lookup table Significant Periprocedural MI - Criteria,NCVD-PCI
site_of_primary_cancer_relapse,Site of Primary Cancer Relapse,Radiotherapy & Oncology,May-13,,,Lokasi tubuh kanser berulang,Site of the return or reappearance of the cancer (of the same morphology as the primary cancer) after a disease free period,,Alphanumeric,,Select from a shortlist,Refer to lookup table Site of Primary Cancer Relapse,
site_of_radiotherapy_colorectal_cancer,Site of Radiotherapy Given in Colorectal Cancer,Colorectal Cancer,May-13,,,Tempat radioterapi diberi dalam kanser kolorektal,The site of radiotherapy administered in colorectal cancer,,Alphanumeric,,,Refer to lookup table Site of Radiotherapy Given in Colorectal Cancer,
site_of_metastasis,Site(s) of Metastasis,Radiotherapy & Oncology,May-13,,,,Site of spread of primary tumour,,Alphanumeric,,"Select from a shortlist, type in",Refer to lookup table Site(s) of Metastasis,
size_side_branch_pre_pci,Size Side Branch Pre PCI,Cardiology,May-13,,,,Size of side branch in mm pre PCI,,Alphanumeric,,Select from a shortlist,Refer to lookup table Size Side Branch Pre PCI,NCVD-PCI
sleep_table,Sleep Study,Mental Health/Psychiatric,Sep-12,,,,Sleep study was carried out for patient,,Alphanumeric,,Select from a shortlist,Refer to lookup table Sleep Table,
,Smoking Status,"Cardiology, Dermatology, Neurology, Colorectal Cancer",May-13,,,Status merokok,Indicate if the patient has a history of confirming any form of tobacco use in the past. Categorised as: ‘Never’; ‘Former (quit > 30 days)’; Current; Not available,,Alphanumeric,,,,
social_history,Social History,Transplant,May-13,,,,Relevant social history of organ donor,,Alphanumeric,,,Refer to lookup table Social History,
,Social Relationships,Mental Health/Psychiatric,Sep-12,,,,Impairment in domain of social relationship,,Alphanumeric,,Select from a shortlist,Refer to lookup table Level of Impairment,
source_of_donor,Source of Donor,Ophthalmology,May-13,,,,Origin of the donor corneal tissue,,Alphanumeric,,,Refer to lookup table Source of Donor,
specimen_type_of_colorectal_cancer,Specimen Type in Colorectal Cancer,Colorectal Cancer,May-13,,,Jenis spesimen dalam kanser kolorektal,The type of specimen or tissue sampling in colorectal cancer,,Alphanumeric,,,Refer to lookup table Specimen Type of Colorectal Cancer,
,Spontaneous Conception,NOR,May-13,,,,Pregnancy that is achieved naturally without the aid of any artificial methods,,,,,,NOR
,Spontaneous Labour,NOR,May-13,,,,Labor beginning and progressing without mechanical or pharmacologic stimulation,,,,,,NOR
stage_m_colorectal_cancer,Stage M of Colorectal Cancer,Colorectal Cancer,May-13,,,Peringkat M kanser kolorektal,The level of spread of colorectal cancer,,Alphanumeric,,,Refer to lookup table Stage M of Colorectal Cancer,
stage_n_colorectal_cancer,Stage N of Colorectal Cancer,Colorectal Cancer,May-13,,,Peringkat N kanser kolorektal,The number of nodes involved in colorectal cancer,,Alphanumeric,,,Refer to lookup table Stage N of Colorectal Cancer,
stage_t_colorectal_cancer,Stage T of Colorectal Cancer,Colorectal Cancer,May-13,,,Peringkat T kanser kolorektal,The degree of invasion of the colorectal cancer,,Alphanumeric,,,Refer to lookup table Stage T of Colorectal Cancer,
staged_revascularisation,Staged Revascularisation,Cardiology,May-13,,,,Indicate if patient re-admitted for staged revascularisation either PCI or CABG,,Alphanumeric,4 characters,Select from a shortlist,Refer to lookup table Staged Revascularisation,NCVD-PCI
,Staging,"Cancer, Nuclear Medicine, Radiotherapy & Oncology",,Apr-12,Stage of cancer,,Describe the clinical stage of the tumour at the point of diagnosis,,Alphanumeric,5 characters,,Refer TNM staging,"AJCC 7th Edition, Staging Manual"
staging_procedure_diagnosis,Staging Procedure at Diagnosis,Radiotherapy & Oncology,May-13,,,,Method of staging,,Alphanumeric,,Select from a shortlist,Refer to lookup table Staging Procedure at Diagnosis,
staging_procedure_pathology_colorectal_cancer,Staging Procedure in Pathology of Colorectal Cancer,Colorectal Cancer,May-13,,,Pengelasan prosedur dalam Patologi kanser kolorektal,The pathology staging in colorectal cancer,,Alphanumeric,,,Refer to lookup table for Staging Procedure in Pathology of Colorectal Cancer,
state,State,"Person Record, Hospital Discharge, Cancer, Radiotherapy & Oncology,",Mar-03,Apr-12,,Negeri,State as per NRIC or as stated by the individual,,Alphanumeric,40 characters,,Refer to lookup table State,Updated version PUBLIC SECTOR DATA DICTIONARY (PSDD)(MAMPU)
,State of Current Diagnosis,Nuclear Medicine,Sep-12,,,,"At this point of time, whether or not the current diagnosis has been confirmed through previous examination/investigation",,Alphanumeric,,,1: Provisional; 2: Final,
,Statin,Cardiology,May-13,,,,Indicate if statin medication was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS NCVD-PCI
,Statin Given at Discharge,Cardiology,May-13,,,,Statin administered at discharge,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Statin Given during Admission,Cardiology,May-13,,,,Statin administered during admission,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
status_elective,Status - Elective,Cardiology,May-13,,,,PCI performed in patient with stable CAD either planned/staged PCI following coronary angiogram done earlier or PCI performed during the time of angiogram (ad-hoc),,Alphanumeric,,Select from a shortlist,Refer to lookup table Status - Elective,NCVD-PCI
status_nstemi/ua,Status - NSTEMI/UA,Cardiology,May-13,,,,PCI for patients admitted with NSTEMI/UA,,Alphanumeric,,Select from a shortlist,Refer to lookup table Status - NSTEMI/UA,NCVD-PCI
status_stemi,Status - STEMI,Cardiology,May-13,,,,PCI for patient admitted with STEMI following different treatment strategies,,Alphanumeric,,Select from a shortlist,Refer to lookup table Status - STEMI,NCVD-PCI
status_of_alive_patient_colorectal_cancer,Status of Alive Patient in Colorectal Cancer,Colorectal Cancer,May-13,,,Keadaan pesakit yang hidup dalam kanser kolorektal,The condition of patients alive from colorectal cancer,,Alphanumeric,,,Refer to lookup table Status of Alive Patient in Colorectal Cancer,
status_of_aspirin_use,Status of Aspirin Use,Cardiology,May-13,,,,Describes aspirin use prior to admission for this ACS event. Option 3 is a TIMI risk score,,Alphanumeric,,Select from a shortlist,Refer to lookup table Status of Aspirin Use,NCVD-ACS
stenosis_side_branch_post_pci,Stenosis Side Branch Post PCI,Cardiology,May-13,,,,Degree of stenosis in side branch post treatment of main vessel,,Alphanumeric,,Select from a shortlist,Refer to lookup table Stenosis Side Branch Post PCI,NCVD-PCI
stenosis_side_branch_pre_pci,Stenosis Side Branch Pre PCI,Cardiology,May-13,,,,Degree of stenosis in side branch prior to PCI,,Alphanumeric,,Select from a shortlist,Refer to lookup table Stenosis Side Branch Pre PCI,NCVD-PCI
,Stent Diameter,Cardiology,May-13,,,,Indicate the diameter of stent in mm,,Numeric,,,,NCVD-PCI
,Stent Length,Cardiology,May-13,,,,Indicate the length of stent in mm,,Numeric,,,,NCVD-ACS
,Stent Thrombosis - Complication,Cardiology,May-13,,,,Indicate if the patient has stent thrombosis following PCI during hospitalization and prior to discharge,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Stillbirth,NOR,May-13,,,,Birth of a dead fetus in the womb weighing more than 500grams or after 22 completed weeks,,,,,,NOR
stoma_fashioned_colorectal_cancer,Stoma Fashioned in Colorectal Cancer,Colorectal Cancer,May-13,,,Samada stoma dibuat dalam kanser kolorektal,Whether a stoma was created during the surgery in colorectal cancer,,Alphanumeric,,,Refer to lookup table Stoma Fashioned in Colorectal Cancer,
stroke_complication_during_hospitalization,Stroke Complication during Hospitalization,Neurology,May-13,,,,Stroke complication patient have during the hospital admission,,Alphanumeric,20 characters,Select from a shortlist,Refer to lookup table Stroke Complication during Hospitalization,
,Stroke Education,Neurology,May-13,,,,"Given education or education material during hospital stay addressing all of the following: personal risk factors for stroke, warning signs for stroke, activation of emergency medical system, need for follow up after discharge and medications prescribed",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Stroke Event,Neurology,May-13,,,,Whether it is the first ever occurred event or Recurrent (Symptom has completely resolved then re-occurred at least once between onset and assessment),,Alphanumeric,10 characters,,,
,Substance Abuse,NOR,,May-13,Substance use,,"In appropriate consumption or inhalation of medicines, drugs or other materials including prescription drug over the counter drugs , street drugs etc",,,,,,NOR
substance_use,Substance Use,Mental Health/Psychiatric,Sep-12,,,,"Inappropriate consumption or inhalation of medicines, drugs, or other materials including prescription drugs, over-the-counter drugs, street drugs, etc",,Alphanumeric,,Select from a shortlist,Refer to lookup table Substance Use,
,Supplemental Oxygen & BPD,MNNR,May-13,,,,"For babies < 32 weeks gestation, oxygen required for 28 days and if oxygen or CPAP or ventilatory support required at 36 weeks corrected age or at discharge",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MNNR
,Surat Akuan Bersalin - Certificate Number,Hospital Discharge,Dec-05,Apr-12,,Surat akuan cuti bersalin – nombor sijil,Serial number of the maternity leave book,,Numeric,10 characters,,,
,Surfactant,MNNR,May-13,,,,A dose of any type of exogenous surfactant was used to treat this baby,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",ANZNN Data Dictionary
surgeon_status,Surgeon Status,Ophthalmology,May-13,,,,Level of qualification of ophthalmic surgeon,,Alphanumeric,,,Refer to lookup table Surgeon Status,
surgery_of_colon_colorectal_cancer,Surgery at Colon of Colorectal Cancer,Colorectal Cancer,May-13,,,Pembedahan di kolon dalam kanser kolorektal,Location of resection of colon in colorectal cancer,,Alphanumeric,,,Refer to lookup table Surgery of Colon at Colorectal Cancer,
surgery_at_rectum_colorectal_cancer,Surgery at Rectum of Colorectal Cancer,Colorectal Cancer,May-13,,,Pembedahan pada rektum dalam kanser kolorektal,The level of surgical resection done of the rectum of colorectal cancer,,Alphanumeric,,,Refer to lookup table Surgery at Rectum of Colorectal Cancer,
surgery_of_rectum_involvement_adjacent_organs_colorectal_cancer,Surgery of Rectum - Involvement of Adjacent Organs in Colorectal Cancer,Colorectal Cancer,May-13,,,Samada organ lain terlibat dalam kanser kolorectal,Whether other organs involved in colorectal cancer,,Alphanumeric,,,Refer to lookup table Surgery of Rectum - Refer lookup Table in Involvement of Adjacent Organs in Colorectal Cancer,
surgery_of_rectum_involvement_bone_fixed,Surgery of Rectum - Involvement of Bone (Fixed),Colorectal Cancer,May-13,,,Samada tulang terlibat dalam kanser kolorectal,Whether bone involved in colorectal cancer,,Alphanumeric,,,Refer to lookup table for Surgery of Rectum - Involvement of Bone (Fixed),
surgical_history,Surgical History,Transplant,May-13,,,,Relevant Surgical History of organ donor,,Alphanumeric,,,Refer to lookup table Surgical History,
surgical_method_colorectal_cancer,Surgical Method in Colorectal Cancer,Colorectal Cancer,May-13,,,Cara pembedahan yang dilakukan dalam kanser kolorektal,The mode of surgery performed in colorectal cancer,,Alphanumeric,,,Refer to lookup table Surgical Method in Colorectal Cancer,
,Surgical Treatment for Necrotising Enterocolitis (NEC),MNNR,May-13,,,,"Baby with NEC requiring the following procedures: laparotomy, bowel resection or intraperitoneal drain placement for suspected or proven NEC",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MNNR
suture_technique_corneal_tissue,Suture Technique of the Corneal Tissue,Ophthalmology,May-13,,,,Technique used to suture the prepared donor corneal tissue to the recipient rim,,Alphanumeric,,,Refer to lookup table Suture Technique of the Corneal Tissue,
synchronous_tumour_present_pathology_colorectal_cancer,Synchronous Tumour Present in Pathology of Colorectal Cancer,Colorectal Cancer,May-13,,,Kehadiran tumor sinkronous dalam patologi kanser kolorektal,Two or more histologically distinct and simultaneously detected malignancies in colorectal cancer,,Alphanumeric,,,Refer to lookup table for Synchronous Tumour Present in Pathology of Colorectal Cancer,
,Syphilis,NOR,May-13,,,,It is a sexually transmitted infection caused by Treponema Pallidum,,,,,,NOR
cancer_systemic_therapy,Systemic Therapy,Radiotherapy & Oncology,May-13,,,Terapi sistemik,"Treatment using substances that travel through the bloodstream, reaching and affecting cells all over the body such as cytotoxic and immunotherapy, targeted therapy and hormonal therapy",,Alphanumeric,,Select from a shortlist,Refer to lookup table Cancer Systemic Therapy,
dermatology_systemic_therapy,Systemic Treatment in Psoriasis,Dermatology,May-13,,,,"Type of systemic therapy given in the past 6 months, such as methotrexate, acitretin, sulphasalazine, cyclosporine, hydroxyurea, biologics, systemic corticosteroids and others",,Alphanumeric,50 characters,Select from a shortlist,Refer to lookup table Dermatology Systemic Therapy,
,Systolic Blood Pressure,Cardiology,May-13,,,,The person’s measured systolic blood pressure (in mmHg) at presentation,,Numeric,,,,NCVD-ACS NCVD-PCI
t_pathology_staging_colorectal_cancer,T Pathology Staging in Colorectal Cancer,Colorectal Cancer,May-13,,,Pengelasan patologi T dalam kanser kolorektal,The pathology tumour invasion in colorectal cancer,,Alphanumeric,,,Refer to lookup table for T Pathology Staging in Colorectal Cancer,
,Tamponade,Cardiology,May-13,,,,"Indicate if there was fluid in the pericardial space compromising cardiac filling, and requiring intervention during the cath. lab visit or after lab visit until discharge (or before any subsequent lab visits). This should be documented by either:1. Echo showing pericardial fluids and signs of tamponade such as right heart compromise or 2. Systemic hypotension due to pericardial fluid compromising cardiac function",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
techniques_1_stent,Techniques _ 1 Stent,Cardiology,May-13,,,,One stent technique used in treating bifurcation lesions & LMS lesions,,Alphanumeric,,Select from a shortlist,Refer to lookup table Techniques _ 1 Stent,NCVD-PCI
techniques_2_stents,Techniques _ 2 Stents,Cardiology,May-13,,,,Two stent technique in treating bifurcation lesions or LMS lesions,,Alphanumeric,,Select from a shortlist,Refer to lookup table Techniques _ 2 Stents,NCVD-PCI
,Telephone Number,Cancer,Mar-03,,,Nombor telefon,Telephone number of the healthcare facility,,Numeric,15 characters,,,
,Termination of Pregnancy,NOR,May-13,,,,Procedure to evacuate the uterine cavity of products of conception with the soul intention of preventing a continuing pregnancy,,,,,,MoH
cause_of_delay_discharge_colorectal_cancer,The Cause of Delay in Discharge of Colorectal Cancer,Colorectal Cancer,May-13,,,Sebab kelewatan discaj pesakit kanser kolorektal,The cause of the delay of discharge after surgical procedure in colorectal cancer patient,,Alphanumeric,,,Refer to lookup table The Cause of Delay in Discharge of Colorectal Cancer,
,The Widest Diameter of Tumour Size in Pathology of Colorectal Cancer,Colorectal Cancer,May-13,,,Diameter terbesar tumor berasaskan patologi dalam kanser kolorektal,Describes the diameter of the tumour in pathology of colorectal carcinoma,,Numeric,3 characters,,,
therapy_intent_chemotherapy_biological_and_radiotherapy_colorectal_cancer,Therapy Intent in Chemotherapy/Biological and Radiotherapy in Colorectal Cancer,Colorectal Cancer,May-13,,,Niat terapi samada kemoterapi/biologikal/radioterapi dalam kolorektal,The chemotherapy/biological and radiotherapy given in colorectal cancer,,Alphanumeric,,,Refer to lookup table Therapy Intent in Chemotherapy/Biological and Radiotherapy in Colorectal Cancer,
,Thromboembolism,NOR,May-13,,,,Covers a spectrum of disorders characterised by thrombosis in venous circulation,,,,,,NOR
,TIA/Stroke,Cardiology,May-13,,,,"Indicate if the patient experienced a Cerebrovascular Accident (CVA) noted during the cath lab visit or after lab visit until discharge (or before any subsequent lab visits), as documented by CT/MRI confirmation",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-PCI
,Ticagrelor,Cardiology,May-13,,,,Indicate if Ticagrelor medication was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS NCVD-PCI
,Ticagrelor Given at Discharge,Cardiology,May-13,,,,Ticagrelor administered at discharge,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Ticagrelor Given during Admission,Cardiology,May-13,,,,Ticagrelor administered during admission,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Ticlopidine,Cardiology,May-13,,,,Indicate if Ticlopidine medication was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS NCVD-PCI
,Ticlopidine Given at Discharge,Cardiology,May-13,,,,Ticlopidine administered at discharge,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Ticlopidine Given during Admission,Cardiology,May-13,,,,Ticlopidine administered during admission,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
time_surfactant_given,Time of Surfactant First Given,"Neonatology, MNNR",May-13,,,,The time of any type of exogenous surfactant given via an endotracheal tube to treat this baby,,Alphanumeric,,Select from a shortlist,Refer to lookup table Time Surfactant Given,MNNR /ANZNN Data Dictionary
timi_flow_post,TIMI Flow (Post),Cardiology,May-13,,,,Indicate the post-procedure TIMI flow down the treated vessel,,Alphanumeric,2 characters,Select from a shortlist,Refer to lookup table TIMI Flow (Post),NCVD-PCI
timi_flow_pre,TIMI Flow (Pre),Cardiology,May-13,,,,Indicate the pre-procedure TIMI flow down the treated vessel,,Alphanumeric,,Select from a shortlist,Refer to lookup table TIMI Flow (Pre),NCVD-PCI
,TIMI Risk Score for STEMI,Cardiology,May-13,,,,"Thrombolysis in myocardial infarction (TIMI) risk score for STEMI is based on following criteria: (Max 14 points) a) S1(5b) Age ≥ 75 - 3 point, Age 65 to 74 - 2 points b) S2(2) © Diabetes OR (b) Hypertension OR (g) Chronic angina (onset more than 2 weeks a ago) OR (h) New onset angina (less than 2 weeks) – 1 point c) S4 (3a) Systolic BP <100 mmHg – 3 points d) S4 (2) Heart rate >100 beat per minute – 2points e) Killip II-IV – 2 points f) S4 (4b) Weight <67kg – 1 point g) S5 (2) Anterior Leads: V1 to V4, S5 (1) Bundle Brunch Block (BBB) – 1 point h) Time to treatment > 4 – 1 point",,Numeric,,,,NCVD-ACS
,TIMI Risk Score for UA/NSTEMI,Cardiology,May-13,,,,"Thrombolysis in myocardial infarction (TIMI) risk score for UA/NSTEMI is based on following criteria: 1 point for each criteria below a) Age ≥ 65 b) At least 3 risk factors (Past medical history: dyslipidaemia, HPT, diabetes, premature cardiovascular disease family history status) c) Known CAD (stenosis ≥ 50%) (Past medical history: Myocardial infarction history, Documented CAD >50% stenosis) d) ST (ECG) deviation ≥ 0.5mm (ECG Abnormalities Type: ST-segment elevation ≥ 1mm (0.1 mV) in ≥ 2 contiguous leads, ST-segment elevation ≥ 2mm (0.2 mV) in ≥ 2 contiguous leads, · ST-segment depression ≥ 0.5mm (0.05 mV) in ≥ 2 contiguous leads (includes reciprocal changes)) e) Recent (≤ 24 hrs) Severe angina (≥ 2 angina in last 24 hrs) f) Use of anti-platelet agent (ASA) in last 7 days (Used at least one of ASA, ADP Antagonist) g) Elevated cardiac enzymes/markers: CK-MB (Peak CKMB value > CKMB Reference Upper limit) and Troponin (Peak Troponin value > Troponin Reference Upper limit)",,Numeric,,,,NCVD-ACS
tme_performed,TME Performed in Colorectal Cancer,Colorectal Cancer,May-13,,,TME (Total Mesorectal Excision) Dibuat di Kanser Kolorektal,Was a TME (Total Mesorectal Excision) performed in colorectal cancer,,Alphanumeric,,,Refer to lookup table TME Performed,
tnm_staging_colorectal_cancer,TNM Staging of Colorectal Cancer,Colorectal Cancer,May-13,,,Pengelasan TNM kanser kolorektal,"The tumour (T) level of invasion, node (N) numbers and metastases (M) indicating level of spread",,Alphanumeric,,,Refer to lookup table TNM Staging of Colorectal Cancer,
,TOAST,Neurology,May-13,,,,"The TOAST (Trial of Org 10172 in Acute Stroke Treatment) classification is based on clinical symptoms as well as results of further investigations; on this basis, a stroke is classified as being due to (1) thrombosis or embolism due to atherosclerosis",,Alphanumeric,,,,
,Tocolysis,NOR,May-13,,,,Medications used to suppress premature labor,,,,,,NOR
,TOP Team,Transplant,May-13,,Tissue & Organ procurement team,,Appointed team/committee at hospital level that coordinates organ procurement at that hospital,,Alphanumeric,,,,
,Topography Site,Cancer,Apr-14,,Primary cancer site,Lokasi asal kanser,Describe the site of tumour origin,,Alphanumeric,80 characters,,Refer to ICD-O,WHO International Classification of Diseases for Oncology (ICD-O) 3rd Edition
,Topography Sub-sites,Cancer,Apr-14,,Primary cancer sub-sites,Lokasi sebenar kanser primer dengan lebih terperinci,Describe the point of origin of the tumour to greater specificity,,Alphanumeric,80 characters,,Refer to ICD-O,WHO International Classification of Diseases for Oncology (ICD-O) 3rd Edition.
,Total Cholesterol,Cardiology,May-13,,,,The person’s measured total cholesterol most recent level before event (in mmol/L),,Numeric,,,,NCVD-ACS NCVD-PCI
,Total Dose,Cardiology,May-13,,,,Total dose of radiation in mGy. Indicate if not available,,Numeric,,,,NCVD-PCI
,Total Duration of Conventional Ventilation at Your Centre (Days),"Neonatology, MNNR",May-13,,,,Total number of days of conventional ventilation through an endotracheal tube,,Numeric,5 characters,"Type in, 4 digits with one decimal point",,MNNR
,Total Duration of CPAP at Your Centre (Days),"Neonatology, MNNR",May-13,,,,Total number of days of CPAP via any route,,Numeric,5 characters,"Type in, 4 digits with one decimal point",,Palestinian Health Data Dictionary /MNNR
,Total Duration of HFJV/HFOV at Your Centre (Days),"Neonatology, MNNR",May-13,,,,Total number of days of high frequency ventilation through an endotracheal tube,,Numeric,5 characters,"Type in, 4 digits with one decimal point (5 spaces)",,MNNR
,Total Duration of Hospital Stay (Neonates/Paediatric Care),"Neonatology, MNNR",May-13,,,,Total number of days on which a newborn baby completes an episode of care in the hospital of registration,,Numeric,3 characters,"Type in, 3 digits",,MNNR
,Total Duration of Nitric Oxide at Your Centre (days),"Neonatology, MNNR",May-13,,,,Total number of days of nitric oxide administered,,Numeric,4 characters,"Type in, 3 digits with one decimal point",,MNNR
,Total Number of Antenatal Visit,Obstetric,Apr-12,,,,Total number of antenatal visit to any healthcare facility during current pregnancy,,Numeric,2 characters,,,MoH
,Total Number of Days on Ventilation Support at Your Centre,"Neonatology, MNNR",May-13,,,,The number of days on conventional ventilation and high frequency ventilation at your centre. Not to include days on CPAP,,Numeric,5 characters,"Type in, 4 digits with one decimal point",,MNNR
,Total Number of Lesion Treated,Cardiology,May-13,,,,Indicate the total number of lesions that were treated,,Numeric,,,,NCVD-PCI
,Total Number of Overnight Stays,Cardiology,May-13,,,,"Total number of days spent in at the reporting centre, either consecutively or intermittently. Autocalculated: (Date of admission - Date of Discharge)",,Numeric,,,,NCVD-ACS
,Total Score of Children’s DLQI,Dermatology,May-13,,,,The Children’s DLQI total score is calculated by summing the score of each question (Total of 10) resulting in a maximum of 30 and a minimum of 0,,Numeric,2 characters,,,
,Total Score of DLQI,Dermatology,May-13,,,,The DLQI total score is calculated by summing the score of each question (Total of 10) resulting in a maximum of 30 and a minimum of 0,,Numeric,2 characters,,,
town,Town,"Person Record, Hospital Discharge, Cancer, Radiotherapy & Oncology,",Mar-03,Apr-12,,Bandar,Town as per NRIC or as stated by the individual,,Alphanumeric,40 characters,,Refer to lookup table Town,Updated version Public Sector Data Dictionary (PSDD)
,Transfer to Other Hospital,MNNR,May-13,,,,The baby was transferred to another hospital nursery before going home,,Alphanumeric,50 characters,,,ANZNN Data Dictionary
,Transient Tachypnoea of Newborn,"MNNR, NOR",May-13,,,,"Benign disease of near-term, term or large preterm infants with respiratory distress shortly after delivery resolving within 3 days",,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MNNR
,Transplant Coordinator,Transplant,May-13,,Donor Coordinator,,Appointed personnel tasked with coordinating organ procurement,,Alphanumeric,,,,
trauma,Trauma,Transplant,May-13,,,,Traumatic injury sustained by patient,,Alphanumeric,,,Refer to lookup table Trauma,
,Treatment - Electroconvulsive Therapy,Mental Health/Psychiatric,Sep-12,,,,Patient receiving electroconvulsive therapy for current mental illness,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Treatment - Medications,Mental Health/Psychiatric,Sep-12,,,,Patient receiving medication for current mental illness,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Treatment - Psychotherapy,Mental Health/Psychiatric,Sep-12,,,,Patient receiving psychotherapy treatment for current mental illness,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
treatment_intent_colorectal_cancer,Treatment Intent in Chemotherapy/Biological and Radiotherapy of Colorectal Cancer,Colorectal Cancer,May-13,,,Niat rawatan dalam kanser kolorektal,The chemotherapy/biological and radiotherapy given in colorectal cancer,,Alphanumeric,,,Refer to lookup table Treatment Intent of Colorectal Cancer,
treatment_line_chemotherapy_biological_therapy_colorectal_cancer,Treatment Line of Chemotherapy and Biological Therapy in Colorectal Cancer,Colorectal Cancer,May-13,,,Tahap rawatan kemoterapi dan biologikal terapi dalam kanser kolorektal,The level of treatment of chemotherapy and biological agents in colorectal cancer,,Alphanumeric,,,Refer to lookup table Treatment Line of Chemotherapy and Biological Therapy in Corectal Cancer,
,Treatment Medication,Neurology,May-13,,,,Medications taken by patients during hospital stay,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
treatment_modalities_colorectal_cancer,Treatment Modalities of Colorectal Cancer,Colorectal Cancer,May-13,,,Modaliti rawatan kanser kolorektal,The treatment given in colorectal cancer,,Alphanumeric,,,Refer to lookup table Treatment Modalities of Colorectal Cancer,
treatment_of_hydrocephalus,Treatment of Hydrocephalus,MNNR,May-13,,,,Surgical treatment of hydrocephalus,,Alphanumeric,,Select from a shortlist,Refer to lookup table Treatment of Hydrocephalus,MNNR
treatment_of_pda,Treatment of Patent Ductus Arteriosus,"Neonatology, MNNR",May-13,,,,Treatment used to close the PDA in sick newborn,,Alphanumeric,,Select from a shortlist,Refer to lookup table Treatment of PDA,MNNR
treatment_of_rop,Treatment of Retinopathy of Prematurity (ROP),"Neonatology, MNNR",May-13,,,,Modality of treatment of ROP,,Alphanumeric,,Select from a shortlist,Refer to lookup table Treatment of ROP,MNNR
